date,topic_name,topic_url,description,authors
2021-11-24,Structural basis for ligand reception by anaplastic lymphoma kinase,https://www.nature.com/articles/s41586-021-04141-7,Analysis of crystal structures of anaplastic lymphoma kinase elucidate the mechanism by which ligand binding and the glycine-rich domain regulate its activity.,"Tongqing Li, Steven E. Stayrook, Daryl E. Klein"
2021-11-24,Mechanical actions of dendritic-spine enlargement on presynaptic exocytosis,https://www.nature.com/articles/s41586-021-04125-7,"A mechanism of mechanosensation and transduction in the presynaptic boutons is identified, in which sensing of fine pressure leads to enhanced neurotransmitter release.","Hasan Ucar, Satoshi Watanabe, Haruo Kasai"
2021-11-24,FAM72A antagonizes UNG2 to promote mutagenic repair during antibody maturation,https://www.nature.com/articles/s41586-021-04144-4,"FAM72A differentially controls mutation rates by regulating uracil processing at different stages of the cell cycle, thereby regulating somatic hypermutation and class-switch recombination in B cells.","Yuqing Feng, Conglei Li, Alberto Martin"
2021-11-23,A COVID-19 peptide vaccine for the induction of SARS-CoV-2 T cell immunity,https://www.nature.com/articles/s41586-021-04232-5,,"Jonas S. Heitmann, Tatjana Bilich, Juliane S. Walz"
2021-11-18,Genome surveillance by HUSH-mediated silencing of intronless mobile elements,https://www.nature.com/articles/s41586-021-04228-1,,"Marta Seczynska, Stuart Bloor, Paul J. Lehner"
2021-11-18,Optimization of Non-Coding Regions for a Non-Modified mRNA COVID-19 Vaccine,https://www.nature.com/articles/s41586-021-04231-6,,"Makda S. Gebre, Susanne Rauch, Dan H. Barouch"
2021-11-18,CRISPR screens unveil signal hubs for nutrient licensing of T cell immunity,https://www.nature.com/articles/s41586-021-04109-7,CRISPR screening and protein–protein interaction networks identify components and mechanisms of nutrient-dependent mTORC1 signalling in regulatory T cells and reveal how mTORC1 integrates immunological cues and nutrient signals for adaptive immunity.,"Lingyun Long, Jun Wei, Hongbo Chi"
2021-11-17,Independent infections of porcine deltacoronavirus among Haitian children,https://www.nature.com/articles/s41586-021-04111-z,The presence of porcine deltacoronavirus has been detected in three children from Haiti that could have originated from zoonotic spillover.,"John A. Lednicky, Massimiliano S. Tagliamonte, J. Glenn Morris Jr"
2021-11-17,Observation of universal ageing dynamics in antibiotic persistence,https://www.nature.com/articles/s41586-021-04114-w,Characterizations of bacteria under acute stress reveal features that can be predicted using a conceptual model of physical ageing. ,"Yoav Kaplan, Shaked Reich, Nathalie Q. Balaban"
2021-11-17,In-orbit demonstration of an iodine electric propulsion system,https://www.nature.com/articles/s41586-021-04015-y,"The successful in-orbit operation of an electric space propulsion system based on iodine, rather than the more expensive and difficult-to-store xenon, is demonstrated.","Dmytro Rafalskyi, Javier Martínez Martínez, Ane Aanesland"
2021-11-17,Cell-type specialization is encoded by specific chromatin topologies,https://www.nature.com/articles/s41586-021-04081-2,"A new technique called immunoGAM, which combines genome architecture mapping (GAM) with immunoselection, enabled the discovery of specialized chromatin conformations linked to gene expression in specific cell populations from mouse brain tissues.","Warren Winick-Ng, Alexander Kukalev, Ana Pombo"
2021-11-17,"Structure, function and pharmacology of human itch GPCRs",https://www.nature.com/articles/s41586-021-04126-6,"Structural studies of the itch receptors MRGPRX2 and MRGPRX4 in complex with endogenous and synthetic ligands provide a basis for the development of therapeutic compounds for pain, itch and mast cell-mediated hypersensitivity.","Can Cao, Hye Jin Kang, Bryan L. Roth"
2021-11-17,Cardiopharyngeal deconstruction and ancestral tunicate sessility,https://www.nature.com/articles/s41586-021-04041-w,The heart of appendicularians has evolved by 'deconstructing' an ancestral ascidian-like gene regulatory network.,"Alfonso Ferrández-Roldán, Marc Fabregà-Torrus, Cristian Cañestro"
2021-11-17,Isolation and characterization of a californium metallocene,https://www.nature.com/articles/s41586-021-04027-8,"Chemical experiments on californium are stymied by isotope availability and radioactivity considerations, but are advanced here with synthesis and characterization of an organometallic complex.","Conrad A. P. Goodwin, Jing Su, Joseph W. Ziller"
2021-11-17,Approaching the intrinsic exciton physics limit in two-dimensional semiconductor diodes,https://www.nature.com/articles/s41586-021-03949-7,Two-dimensional transition metal dichalcogenide diodes with defect-free van der Waals contacts allows minimization of the extrinsic interfacial disorder-dominated recombination and access to the intrinsic excitonic behaviour in two-dimensional semiconductor devices.,"Peng Chen, Timothy L. Atallah, Xiangfeng Duan"
2021-11-17,"Structure, function and pharmacology of human itch receptor complexes",https://www.nature.com/articles/s41586-021-04077-y,"Cryo-electron microscopy structures of the MRGPRX2–Gi1 trimer in complex with polycationic compound 48/80 or inflammatory peptides provide insights into the sensing of cationic allergens by MRGPRX2, potentially facilitating the design of therapies to prevent unwanted pseudoallergic reactions.","Fan Yang, Lulu Guo, Jin-Peng Sun"
2021-11-17,Exploding and weeping ceramics,https://www.nature.com/articles/s41586-021-03975-5,"A study demonstrates that a range of different behaviours—from reversible, through weeping, to explosive—can be exhibited by a chemically homogeneous ceramic system by manipulating conditions of compatibility in unusual ways.","Hanlin Gu, Jascha Rohmer, Richard D. James"
2021-11-17,Reverse-translational identification of a cerebellar satiation network,https://www.nature.com/articles/s41586-021-04143-5,"Activity in anterior deep cerebellar nuclei reduces food consumption in mice without reducing metabolic rate, potentially identifying a therapeutic target for disorders involving excessive eating.","Aloysius Y. T. Low, Nitsan Goldstein, J. Nicholas Betley"
2021-11-17,Cortical responses to touch reflect subcortical integration of LTMR signals,https://www.nature.com/articles/s41586-021-04094-x,Genetic manipulation of skin peripheral sensory neurons in mice shows that cortical neuron responses to touch reflect subcortical mixing of signals from both rapidly adapting and slowly adapting low-threshold mechanoreceptors.,"Alan J. Emanuel, Brendan P. Lehnert, David D. Ginty"
2021-11-17,Mental health concerns during the COVID-19 pandemic as revealed by helpline calls,https://www.nature.com/articles/s41586-021-04099-6,"Data collected from crisis helplines during the COVID-19 pandemic show that pandemic-related issues replaced rather than exacerbated underlying anxieties, and demonstrate that helpline data are useful indicators of public mental health.","Marius Brülhart, Valentin Klotzbücher, Stephanie K. Reich"
2021-11-17,Herpesviruses assimilate kinesin to produce motorized viral particles,https://www.nature.com/articles/s41586-021-04106-w,Herpes simplex virus type I and pseudorabies virus assimilate kinesin from host epithelial cells and repurpose the motor to traffic to the nuclei of neurons in the peripheral nervous system.,"Caitlin E. Pegg, Sofia V. Zaichick, Gregory A. Smith"
2021-11-17,Observation of Stark many-body localization without disorder,https://www.nature.com/articles/s41586-021-03988-0,"Experiments with a trapped-ion quantum simulator observe Stark many-body localization, in which the quantum system evades thermalization despite having no disorder.","W. Morong, F. Liu, C. Monroe"
2021-11-17,Single-cell transcriptomic characterization of a gastrulating human embryo,https://www.nature.com/articles/s41586-021-04158-y,The single-cell transcriptional profile of a human embryo between 16 and 19 days after fertilization reveals parallels and differences in gastrulation in humans as compared with mouse and non-human primate models.,"Richard C. V. Tyser, Elmir Mahammadov, Shankar Srinivas"
2021-11-17,Measuring phonon dispersion at an interface,https://www.nature.com/articles/s41586-021-03971-9,Four-dimensional electron energy-loss spectroscopy measurements of the vibrational spectra and the phonon dispersion at a heterointerface show localized modes that are predicted to affect the thermal conductance and electron mobility.,"Ruishi Qi, Ruochen Shi, Peng Gao"
2021-11-17,Widespread changes in surface temperature persistence under climate change,https://www.nature.com/articles/s41586-021-03943-z,A survey of climate change simulations from different models indicates widespread changes in surface temperature persistence under global warming that may be attributable to a broad range of physical processes.,"Jingyuan Li, David W. J. Thompson"
2021-11-17,Structural insights into Ubr1-mediated N-degron polyubiquitination,https://www.nature.com/articles/s41586-021-04097-8,"Structures of Ubr1 in complex with Ubc2, ubiquitin and two N-degron peptides reveal a Ubc2-binding region and an acceptor ubiquitin-binding loop on Ubr1, providing mechanistic insights into the initiation and elongation steps of ubiquitination catalysed by Ubr1.","Man Pan, Qingyun Zheng, Minglei Zhao"
2021-11-10,Pre-existing polymerase-specific T cells expand in abortive seronegative SARS-CoV-2,https://www.nature.com/articles/s41586-021-04186-8,,"Leo Swadling, Mariana O. Diniz, Mala K. Maini"
2021-11-10,Bubble casting soft robotics,https://www.nature.com/articles/s41586-021-04029-6,An all-in-one methodology for fabricating soft robotics reported here uses interfacial flows in elastomers that cure to produce actuators that can be tailored to suit applications from artificial muscles to grippers.,"Trevor J. Jones, Etienne Jambon-Puillet, P.-T. Brun"
2021-11-10,Globally resolved surface temperatures since the Last Glacial Maximum,https://www.nature.com/articles/s41586-021-03984-4,"Paleoclimate datasets are integrated with a climate model to reconstruct global surface temperature since the Last Glacial Maximum, showing sustained warming until the mid-Holocene.","Matthew B. Osman, Jessica E. Tierney, Christopher J. Poulsen"
2021-11-10,Dynamic slab segmentation due to brittle–ductile damage in the outer rise,https://www.nature.com/articles/s41586-021-03937-x,Numerical subduction models used to determine the consequences of bending-induced plate damage show that slab weakening and segmentation can occur at the outer-rise region of the subducting plate.,"T. V. Gerya, D. Bercovici, T. W. Becker"
2021-11-10,Diverse alterations associated with resistance to KRAS(G12C) inhibition,https://www.nature.com/articles/s41586-021-04065-2,Multiple treatment-emergent alterations appear in patients with advanced-stage cancer who were treated with a KRAS inhibitor.,"Yulei Zhao, Yonina R. Murciano-Goroff, Piro Lito"
2021-11-10,Allometric rules for mammalian cortical layer 5 neuron biophysics,https://www.nature.com/articles/s41586-021-04072-3,Analyses of layer 5 cortical pyramidal neurons in 10 mammalian species show that human neurons are distinct in that they do not follow the expected allometric relationship between neuron size and membrane conductance.,"Lou Beaulieu-Laroche, Norma J. Brown, Mark T. Harnett"
2021-11-10,In situ formation of ZnOx species for efficient propane dehydrogenation,https://www.nature.com/articles/s41586-021-03923-3,"Propene is obtained through propane dehydrogenation using catalysts that are toxic, expensive or demanding to regenerate with ecologically harmful compounds, but the ZnO-based alternative reported here is cheap, clean and scalable.","Dan Zhao, Xinxin Tian, Evgenii V. Kondratenko"
2021-11-10,Structures of the HER2–HER3–NRG1β complex reveal a dynamic dimer interface,https://www.nature.com/articles/s41586-021-04084-z,Cryo-electron microscopy structures of the HER2–HER3–NRG1β complex reveal a dynamic HER2–HER3 interface and explain the mechanism for the activating HER2 cancer mutations.,"Devan Diwanji, Raphael Trenker, Natalia Jura"
2021-11-10,Dietary palmitic acid promotes a prometastatic memory via Schwann cells,https://www.nature.com/articles/s41586-021-04075-0,"Palmitic acid induces stable transcriptional and chromatin changes that lead to long-term stimulation of metastasis in orthotopic models of cancer through the secretion by tumour-associated Schwann cells of a specialized proregenerative extracellular matrix, the ablation of which inhibits metastasis initiation.","Gloria Pascual, Diana Domínguez, Salvador Aznar Benitah"
2021-11-10,Cognitive control persistently enhances hippocampal information processing,https://www.nature.com/articles/s41586-021-04070-5," Studies in mice show that cognitive control training rapidly improves brain circuit function and enhances subsequent learning, which both persist for months.","Ain Chung, Claudia Jou, André A. Fenton"
2021-11-10,Triangulation supports agricultural spread of the Transeurasian languages,https://www.nature.com/articles/s41586-021-04108-8,"A ‘triangulation’ approach combining linguistics, archaeology and genetics suggests that the origin and spread of Transeurasian family of languages can be traced back to early millet farmers in Neolithic North East Asia.","Martine Robbeets, Remco Bouckaert, Chao Ning"
2021-11-10,"A chickpea genetic variation map based on the sequencing of 3,366 genomes",https://www.nature.com/articles/s41586-021-04066-1,"Whole-genome sequencing of 3,171 cultivated and 195 wild chickpea accessions is used to construct a chickpea pan-genome, providing insight into chickpea evolution and enabling breeding strategies that could improve crop productivity.","Rajeev K. Varshney, Manish Roorkiwal, Xin Liu"
2021-11-10,An optical lattice with sound,https://www.nature.com/articles/s41586-021-03945-x,An optical lattice for trapping a Bose–Einstein condensate reported here includes photon-mediated atom–atom interactions that replicate acoustic modes in real crystals.,"Yudan Guo, Ronen M. Kroeze, Benjamin L. Lev"
